address,bank,rating,review_title_by_user,review,rating_title_by_user,useful_count,polarity,compound,Sentiment_Category,cleaned_review,label
Stockport,Santander,4.0,"""Best saving""","Bank of England Of UK is located nearby in our area so i open my saving account from that bank ,customer service was good, I got my bank countryment on time the bank agent informed me every details required. It is very easy and convenience for money deposits.",Great!,133,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.7264}",0.7264,Neutral,bank of england of uk is located nearby in our area so i open my saving account from that bank customer service was good i got my bank countryment on time the bank agent informed me every details required it is very easy and convenience for money deposits ,1
Basildon,Santander,5.0,"""Good service""","I have my salary account in Santander, when I applied for the card I got my countryment on time. I am very much satisfied with the the account. Net banking is also functioning smooth and convenient for me. There are some offer in the cards which was good.",Blown Away!,89,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.7165}",0.7165,Neutral,i have my salary account in santander when i applied for the card i got my countryment on time i am very much satisfied with the the account net banking is also functioning smooth and convenient for me there are some offer in the cards which was good ,1
Croydon,Lloyds Bank,5.0,"""Excellent Service""",I am using Lloyds Bank saving account for the  past 3years .Each transaction will be safe and always secure .I am using net banking as well mobile banking service it is used for money transfer and recharge only.There was no difficulties faced so far on using this saving account.,Blown Away!,48,"{'neg': 0.08, 'neu': 0.785, 'pos': 0.135, 'compound': 0.4588}",0.4588,Neutral,i am using lloyds bank saving account for the past 3years each transaction will be safe and always secure i am using net banking as well mobile banking service it is used for money transfer and recharge only there was no difficulties faced so far on using this saving account ,1
Stevenage,HSBC,5.0,"""Excellent service""","I have my salary bank account in HSBC for many years, I got my bank countryment on time.This bank is available in most of the areas so its very convenience for deposits and update of passbook. I have no issues with the customer support and its been good experience.",Blown Away!,52,"{'neg': 0.043, 'neu': 0.846, 'pos': 0.11, 'compound': 0.5267}",0.5267,Neutral,i have my salary bank account in hsbc for many years i got my bank countryment on time this bank is available in most of the areas so its very convenience for deposits and update of passbook i have no issues with the customer support and its been good experience ,1
Cardiff,Unknown,5.0,"""Good account""","Close to around 10 years, I am holding this Corporation Bank  savings account The most interesting part about this account I can easily transact and I can withdraw money from anywhere without any charges. ATM and their branches are near to my residence.",Blown Away!,22,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.7357}",0.7357,Neutral,close to around 10 years i am holding this corporation bank savings account the most interesting part about this account i can easily transact and i can withdraw money from anywhere without any charges atm and their branches are near to my residence ,1
Peterborough,Monzo,5.0,"""Good """,I am not getting an alert message from Monzo bank whenever I do a transaction from their end to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years and its a zero balance account.,Blown Away!,37,"{'neg': 0.04, 'neu': 0.9, 'pos': 0.061, 'compound': 0.2528}",0.2528,Neutral,i am not getting an alert message from monzo bank whenever i do a transaction from their end to check the account balance details i use to visit branch and get good response from their end i am holding a saving account for the past 6 years and its a zero balance account ,1
Cardiff,Santander,4.0,"""Good account""","I am using savings account from Santander more than 4 years. If i don't keep any balance, they are deducting some amount so i am  keep on  maintaining the amount. I am doing all transactions and EMI transfer I am using this account only. Customer service was okay.",Great!,52,"{'neg': 0.0, 'neu': 0.956, 'pos': 0.044, 'compound': 0.2263}",0.2263,Neutral,i am using savings account from santander more than 4 years if i don t keep any balance they are deducting some amount so i am keep on maintaining the amount i am doing all transactions and emi transfer i am using this account only customer service was okay ,1
Cardiff,Barclays,5.0,"""Good service""","Its been 2 years, i am using Barclays Bank savings account and its really super service, thats why still i have not contacted with the customer service . I went through online and i have mentioned my details to open this  account and its a zero balance account. They haven't charged a debit card fees,  onces i lost my debit card just 2 days i received.",Blown Away!,44,"{'neg': 0.038, 'neu': 0.865, 'pos': 0.096, 'compound': 0.54}",0.54,Neutral,its been 2 years i am using barclays bank savings account and its really super service thats why still i have not contacted with the customer service i went through online and i have mentioned my details to open this account and its a zero balance account they haven t charged a debit card fees onces i lost my debit card just 2 days i received ,1
Stockport,HSBC,5.0,"""Good""","Since 2002, I am maintain my savings account from HSBC Bank. This is salary comes saving account, no need to maintain minimum balance. I am getting offer messages for loan offer and i never spoke to customer care. For cash withdrawal, shopping and all i use to get instant message.",Blown Away!,35,"{'neg': 0.044, 'neu': 0.869, 'pos': 0.087, 'compound': 0.2732}",0.2732,Neutral,since 2002 i am maintain my savings account from hsbc bank this is salary comes saving account no need to maintain minimum balance i am getting offer messages for loan offer and i never spoke to customer care for cash withdrawal shopping and all i use to get instant message ,1
Cardiff,Lloyds Bank,5.0,"""Good ""","An executive has made to open an account with Lloyds Bank, so I have been using this account last 2 months before only. There is no ATM but it will not be charge for other ATM transaction. There is no much branches are avail in my city. So far I didn't faced any fraudulent issue.",Blown Away!,29,"{'neg': 0.077, 'neu': 0.862, 'pos': 0.061, 'compound': 0.0108}",0.0108,Neutral,an executive has made to open an account with lloyds bank so i have been using this account last 2 months before only there is no atm but it will not be charge for other atm transaction there is no much branches are avail in my city so far i didn t faced any fraudulent issue ,1
Cardiff,Barclays,5.0,"""Good """,I came to know that there is trial of 0% charge to open a saving account with Barclays which is 811 app saving account. In which all the process was done through online. I maintain this account more than 2 years. No need to maintain a minimum balance. I have not done much transaction in this account.,Blown Away!,28,"{'neg': 0.047, 'neu': 0.953, 'pos': 0.0, 'compound': -0.3535}",-0.3535,To be Improved,i came to know that there is trial of 0 charge to open a saving account with barclays which is 811 app saving account in which all the process was done through online i maintain this account more than 2 years no need to maintain a minimum balance i have not done much transaction in this account ,1
