author,date,address,bank,rating,review_title_by_user,review,bank_image,rating_title_by_user,useful_count
AMRENDRA  T,"Mar 21, 2020",New delhi,SBI,4,"""Best saving""","State Bank Of India is located nearby in our area so i open my saving account from that bank ,customer service was good, I got my bank statement on time the bank agent informed me every details required. It is very easy and convenience for money deposits.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,133
BISHWA,"Mar 20, 2020",Kolkata,SBI,5,"""Good service""","I have my salary account in SBI, when I applied for the card I got my statement on time. I am very much satisfied with the the account. Net banking is also functioning smooth and convenient for me. There are some offer in the cards which was good.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Blown Away!,89
SANTOSH,"Mar 20, 2020",Hooghly,Axis Bank,5,"""Excellent Service""",I am using Axis bank saving account for the  past 3years .Each transaction will be safe and always secure .I am using net banking as well mobile banking service it is used for money transfer and recharge only.There was no difficulties faced so far on using this saving account.,https://static.bankbazaar.com/images/common/bank-logo/axis.png,Blown Away!,48
MAHADEV,"Mar 20, 2020",Pune,HDFC Bank,5,"""Excellent service""","I have my salary bank account in HDFC bank for many years, I got my bank statement on time.This bank is available in most of the areas so its very convenience for deposits and update of passbook. I have no issues with the customer support and its been good experience.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,52
R,"Mar 20, 2020",Bangalore,review,5,"""Good account""","Close to around 10 years, I am holding this Corporation Bank  savings account The most interesting part about this account I can easily transact and I can withdraw money from anywhere without any charges. ATM and their branches are near to my residence.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,22
MD,"Mar 20, 2020",Hyderabad,IDBI,5,"""Good """,I am not getting an alert message from IDBI bank whenever I do a transaction from their end to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years and its a zero balance account.,https://static.bankbazaar.com/images/common/bank-logo/idbi.png,Blown Away!,37
DINESH K V,"Mar 20, 2020",Bangalore,SBI,4,"""Good account""","I am using savings account from SBI more than 4 years. If i don't keep any balance, they are deducting some amount so i am  keep on  maintaining the amount. I am doing all transactions and EMI transfer I am using this account only. Customer service was okay.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,52
D,"Mar 20, 2020",Bangalore,Kotak,5,"""Good service""","Its been 2 years, i am using Kotak Bank savings account and its really super service, thats why still i have not contacted with the customer service . I went through online and i have mentioned my details to open this  account and its a zero balance account. They haven't charged a debit card fees,  onces i lost my debit card just 2 days i received.",https://static.bankbazaar.com/images/common/bank-logo/kotak.png,Blown Away!,44
N,"Mar 20, 2020",New delhi,HDFC Bank,5,"""Good""","Since 2002, I am maintain my savings account from HDFC Bank. This is salary comes saving account, no need to maintain minimum balance. I am getting offer messages for loan offer and i never spoke to customer care. For cash withdrawal, shopping and all i use to get instant message.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,35
U,"Mar 19, 2020",Bangalore,Axis Bank,5,"""Good ""","An executive has made to open an account with AXIS, so I have been using this account last 2 months before only. There is no ATM but it will not be charge for other ATM transaction. There is no much branches are avail in my city. So far I didn't faced any fraudulent issue.",https://static.bankbazaar.com/images/common/bank-logo/axis.png,Blown Away!,29
UN,"Mar 19, 2020",Bangalore,Kotak,5,"""Good """,I came to know that there is trial of 0% charge to open a saving account with KOTAK which is 811 app saving account. In which all the process was done through online. I maintain this account more than 2 years. No need to maintain a minimum balance. I have not done much transaction in this account.,https://static.bankbazaar.com/images/common/bank-logo/kotak.png,Blown Away!,28
AK,"Mar 19, 2020",Bangalore,SBI,5,"""Great""","My mother has suggested SBI to open a saving account with them. Since she is govt employee, know all benefits and details. Hence I am having an account with them past 7 years. Need to maintain a minimum balance of 3K. ATM and branches are near. I use to get all details and update from bank.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Blown Away!,43
HI,"Mar 19, 2020",Bangalore,HDFC Bank,5,"""Great bank """,I am using HDFC saving account for more than 5 years. When I joined my previous company they made me to open a salary account with this bank. Later I resigned that job so now converted to saving account. Need to maintain a minimum balance of 10K its kind high if not maintain an amount charges are final. I get calls from banker if they provide any offers  for other products.,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,26
VIGNESH,"Mar 19, 2020",Chennai,review,3,"""Need to improve their service""","Indian Bank cash deposit machine is not convenient to use and i am using this saving account more than 10 years. The customer service is need to improve and I am keeping minimum balance of Rs. 500. Their net banking facility is okay, I went to the branch for the cash deposit and the response is okay.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Satisfactory,30
V,"Mar 19, 2020",Chennai,SBI,4,"""Need to improve in service""","SBI has best Internet banking and its very fast and easy to access any one. I am using this savings account more than 10 years,  if i withdrawal cash more than 5 time no charges. Mostly i am not taking cash at ATM.  I am doing more transcation, so no need to maintain minimum balance and getting immediate response from customer service Bank employees attitude must be change.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,41
KA,"Mar 19, 2020",Hyderabad,review,4,"""Need to improve customer service ""","YES bank service is good, I have been holding saving  account for more than 4 years  but  past two years I am not using  this account , because I forget net banking details if I contact the customer care there is no response so stop using this account itself. ATM and branches services are good.  I use to get alert message on time.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,21
NAR,"Mar 19, 2020",Hyderabad,Axis Bank,4.5,"""Good service""",I am holding a salary account with AXIS bank past  2.5 years. I got an immediate alert message on time. I am using mobile app and net banking both are user friendly to access. I need to pay 500 rupees around  for SMS charge and account service on yearly basis.,https://static.bankbazaar.com/images/common/bank-logo/axis.png,Excellent!,29
NA,"Mar 19, 2020",Hyderabad,SBI,4,"""Need to improve service """,I am using saving account from SBI almost 7-8 years.  Minimum amount need to maintain of 1-5K on monthly basis.  I get only OTP number on time but once the amount debited or credited I wont get any message from their end. I am using  net banking and it is good to access.  There is some charge of 500 rupees on yearly need to pay.,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,34
SHAIK  MAQSOOD,"Mar 19, 2020",Hyderabad,review,3,"""Good""","Since 14 years, I am using Oriental Bank savings account and this branch is located very far. ATM service is near and i am keeping minimum balance of Rs. 2500 customer service and this bank app is really good. Instantly I am getting messages from bank.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Satisfactory,15
R  PRASANNA,"Mar 19, 2020",Chennai,HDFC Bank,4,"""Best  Service""",I have Hdfc bank salary account for the past 3 to 4 years . I am using mobile  banking service is used for all transactions and money transfer .If contact customer service for any query then wil be getting good response .I am satisfied with the overall banking service .,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Great!,24
MUN,"Mar 19, 2020",Hyderabad,SBI,5,"""Need to provide more offers""","I maintain salary cum saving account with SBI. On 2015, my company has suggested to opened an account. Need to maintain a minimum balance of 3K. There is no hidden charge. On quarter basis SMS charge is applicable of 12 - 15 rupees. ATM charges are applicable if I cross more than 5 times in a month of 40 rupees.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Blown Away!,17
R,"Mar 19, 2020",Bangalore,review,5,"""Good bank """,Standard Chartered Bank has a very good app and i am using this account more than 9 years. This is a salary comes savings account so need to maintain minimum balance and the customer service is very very good.  I am continuously getting offer messages from bank.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,23
JHA,"Mar 18, 2020",Darbhanga,IndusInd Bank,4,"""Good saving account """,I maintain a saving account with INDUSIND for the past 1 year. I no need to maintain a minimum balance account. Since my friend is working as a executive and he has recommend to open an account with them. Hence I chosen it. I use this account for the transaction. I use to get offers message from their end.,https://static.bankbazaar.com/images/common/bank-logo/indusind.png,Great!,20
RA,"Mar 18, 2020",Darbhanga,Axis Bank,4.5,"""Good card """,AXIS has given an option to maintain a account with them and I am holding for past 12 years. On yearly basis charge is applicable of 15 to 30 rupees and it will be reflecting in statement as well. ATM and branch services are good. Whenever they provide offers I use to get by message.,https://static.bankbazaar.com/images/common/bank-logo/axis.png,Excellent!,9
AY,"Mar 18, 2020",Jaipur,SBI,4,"""Apart private bank, atleast we should have SBI account ""","Since 11 years, i am using this SBI account which am very convenient. I received an offer for a zero balance account and the ATM facilities are near. The customer service was good . Even the responses are proper at the branch and am okay with the interest rate too.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,15
AKSHAY  JAIN,"Mar 18, 2020",Jaipur,HDFC Bank,4,"""Good account ""","I am holding salary account with HDFC Bank for the past 7-8 months . Since its this a salary account, no need to maintain a minimum balance amount. I am not using atm since i have paytm service  and mobile app which are quite easy to access. When ever, i log into it am getting a blank screen that need to be changed. The customer service is  good and responding properly.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Great!,9
AK,"Mar 18, 2020",Jaipur,Kotak,5,"""Its a good account """,I have opened my savings account from Kotak Mahindra bank more than 2.5 years and am making all transaction through this bank account. They have provided me a zero balance account.  I can find their branch's in all the places. They are not taking any kind of hidden charges.,https://static.bankbazaar.com/images/common/bank-logo/kotak.png,Blown Away!,17
K,"Mar 18, 2020",Chennai,HDFC Bank,5,"""Best savings account""",My salary account is maintained with HDFC Bank for nearly 10 years and till now there was no issues. Its a friendly bank according to my experience. I am using the online service which is very good. Their customer service was good but fixed deposit interest rates was less.,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,9
